pokedex_number,name,catch_rate,status,species,hp,attack,defense,sp_attack,sp_defense,speed
317,Swalot,75,Normal,Poison Bag Pokémon,100,73,83,73,83,55
318,Carvanha,225,Normal,Savage Pokémon,45,90,20,65,20,65
319,Sharpedo,60,Normal,Brutal Pokémon,70,120,40,95,40,95
319,Mega Sharpedo,60,Normal,Brutal Pokémon,70,140,70,110,65,105
320,Wailmer,125,Normal,Ball Whale Pokémon,130,70,35,70,35,60
321,Wailord,60,Normal,Float Whale Pokémon,170,90,45,90,45,60
322,Numel,255,Normal,Numb Pokémon,60,60,40,65,45,35
323,Camerupt,150,Normal,Eruption Pokémon,70,100,70,105,75,40
323,Mega Camerupt,150,Normal,Eruption Pokémon,70,120,100,145,105,20
324,Torkoal,90,Normal,Coal Pokémon,70,85,140,85,70,20
325,Spoink,255,Normal,Bounce Pokémon,60,25,35,70,80,60
326,Grumpig,60,Normal,Manipulate Pokémon,80,45,65,90,110,80
327,Spinda,255,Normal,Spot Panda Pokémon,60,60,60,60,60,60
328,Trapinch,255,Normal,Ant Pit Pokémon,45,100,45,45,45,10
329,Vibrava,120,Normal,Vibration Pokémon,50,70,50,50,50,70
330,Flygon,45,Normal,Mystic Pokémon,80,100,80,80,80,100
331,Cacnea,190,Normal,Cactus Pokémon,50,85,40,85,40,35
332,Cacturne,60,Normal,Scarecrow Pokémon,70,115,60,115,60,55
333,Swablu,255,Normal,Cotton Bird Pokémon,45,40,60,40,75,50
334,Altaria,45,Normal,Humming Pokémon,75,70,90,70,105,80
334,Mega Altaria,45,Normal,Humming Pokémon,75,110,110,110,105,80
335,Zangoose,90,Normal,Cat Ferret Pokémon,73,115,60,60,60,90
336,Seviper,90,Normal,Fang Snake Pokémon,73,100,60,100,60,65
337,Lunatone,45,Normal,Meteorite Pokémon,90,55,65,95,85,70
338,Solrock,45,Normal,Meteorite Pokémon,90,95,85,55,65,70
339,Barboach,190,Normal,Whiskers Pokémon,50,48,43,46,41,60
340,Whiscash,75,Normal,Whiskers Pokémon,110,78,73,76,71,60
341,Corphish,205,Normal,Ruffian Pokémon,43,80,65,50,35,35
342,Crawdaunt,155,Normal,Rogue Pokémon,63,120,85,90,55,55
343,Baltoy,255,Normal,Clay Doll Pokémon,40,40,55,40,70,55
344,Claydol,90,Normal,Clay Doll Pokémon,60,70,105,70,120,75
345,Lileep,45,Normal,Sea Lily Pokémon,66,41,77,61,87,23
346,Cradily,45,Normal,Barnacle Pokémon,86,81,97,81,107,43
347,Anorith,45,Normal,Old Shrimp Pokémon,45,95,50,40,50,75
348,Armaldo,45,Normal,Plate Pokémon,75,125,100,70,80,45
349,Feebas,255,Normal,Fish Pokémon,20,15,20,10,55,80
350,Milotic,60,Normal,Tender Pokémon,95,60,79,100,125,81
351,Castform,45,Normal,Weather Pokémon,70,70,70,70,70,70
351,Castform Sunny Form,45,Normal,Weather Pokémon,70,70,70,70,70,70
351,Castform Rainy Form,45,Normal,Weather Pokémon,70,70,70,70,70,70
351,Castform Snowy Form,45,Normal,Weather Pokémon,70,70,70,70,70,70
352,Kecleon,200,Normal,Color Swap Pokémon,60,90,70,60,120,40
353,Shuppet,225,Normal,Puppet Pokémon,44,75,35,63,33,45
354,Banette,45,Normal,Marionette Pokémon,64,115,65,83,63,65
354,Mega Banette,45,Normal,Marionette Pokémon,64,165,75,93,83,75
355,Duskull,190,Normal,Requiem Pokémon,20,40,90,30,90,25
356,Dusclops,90,Normal,Beckon Pokémon,40,70,130,60,130,25
357,Tropius,200,Normal,Fruit Pokémon,99,68,83,72,87,51
358,Chimecho,45,Normal,Wind Chime Pokémon,75,50,80,95,90,65
359,Absol,30,Normal,Disaster Pokémon,65,130,60,75,60,75
359,Mega Absol,30,Normal,Disaster Pokémon,65,150,60,115,60,115
360,Wynaut,125,Normal,Bright Pokémon,95,23,48,23,48,23
361,Snorunt,190,Normal,Snow Hat Pokémon,50,50,50,50,50,50
362,Glalie,75,Normal,Face Pokémon,80,80,80,80,80,80
362,Mega Glalie,75,Normal,Face Pokémon,80,120,80,120,80,100
363,Spheal,255,Normal,Clap Pokémon,70,40,50,55,50,25
364,Sealeo,120,Normal,Ball Roll Pokémon,90,60,70,75,70,45
365,Walrein,45,Normal,Ice Break Pokémon,110,80,90,95,90,65
366,Clamperl,255,Normal,Bivalve Pokémon,35,64,85,74,55,32
367,Huntail,60,Normal,Deep Sea Pokémon,55,104,105,94,75,52
368,Gorebyss,60,Normal,South Sea Pokémon,55,84,105,114,75,52
369,Relicanth,25,Normal,Longevity Pokémon,100,90,130,45,65,55
370,Luvdisc,225,Normal,Rendezvous Pokémon,43,30,55,40,65,97
371,Bagon,45,Normal,Rock Head Pokémon,45,75,60,40,30,50
372,Shelgon,45,Normal,Endurance Pokémon,65,95,100,60,50,50
373,Salamence,45,Normal,Dragon Pokémon,95,135,80,110,80,100
373,Mega Salamence,45,Normal,Dragon Pokémon,95,145,130,120,90,120
374,Beldum,3,Normal,Iron Ball Pokémon,40,55,80,35,60,30
375,Metang,3,Normal,Iron Claw Pokémon,60,75,100,55,80,50
376,Metagross,3,Normal,Iron Leg Pokémon,80,135,130,95,90,70
376,Mega Metagross,3,Normal,Iron Leg Pokémon,80,145,150,105,110,110
377,Regirock,3,Sub Legendary,Rock Peak Pokémon,80,100,200,50,100,50
378,Regice,3,Sub Legendary,Iceberg Pokémon,80,50,100,100,200,50
379,Registeel,3,Sub Legendary,Iron Pokémon,80,75,150,75,150,50
380,Latias,3,Sub Legendary,Eon Pokémon,80,80,90,110,130,110
380,Mega Latias,3,Sub Legendary,Eon Pokémon,80,100,120,140,150,110
381,Latios,3,Sub Legendary,Eon Pokémon,80,90,80,130,110,110
381,Mega Latios,3,Sub Legendary,Eon Pokémon,80,130,100,160,120,110
382,Kyogre,3,Legendary,Sea Basin Pokémon,100,100,90,150,140,90
382,Primal Kyogre,5,Legendary,Sea Basin Pokémon,100,150,90,180,160,90
383,Groudon,3,Legendary,Continent Pokémon,100,150,140,100,90,90
383,Primal Groudon,5,Legendary,Continent Pokémon,100,180,160,150,90,90
384,Rayquaza,45,Legendary,Sky High Pokémon,105,150,90,150,90,95
384,Mega Rayquaza,3,Legendary,Sky High Pokémon,105,180,100,180,100,115
385,Jirachi,3,Mythical,Wish Pokémon,100,100,100,100,100,100
386,Deoxys Normal Forme,3,Mythical,DNA Pokémon,50,150,50,150,50,150
386,Deoxys Attack Forme,3,Mythical,DNA Pokémon,50,180,20,180,20,150
386,Deoxys Defense Forme,3,Mythical,DNA Pokémon,50,70,160,70,160,90
386,Deoxys Speed Forme,3,Mythical,DNA Pokémon,50,95,90,95,90,180
387,Turtwig,45,Normal,Tiny Leaf Pokémon,55,68,64,45,55,31
388,Grotle,45,Normal,Grove Pokémon,75,89,85,55,65,36
389,Torterra,45,Normal,Continent Pokémon,95,109,105,75,85,56
390,Chimchar,45,Normal,Chimp Pokémon,44,58,44,58,44,61
391,Monferno,45,Normal,Playful Pokémon,64,78,52,78,52,81
392,Infernape,45,Normal,Flame Pokémon,76,104,71,104,71,108
393,Piplup,45,Normal,Penguin Pokémon,53,51,53,61,56,40
394,Prinplup,45,Normal,Penguin Pokémon,64,66,68,81,76,50
395,Empoleon,45,Normal,Emperor Pokémon,84,86,88,111,101,60
396,Starly,255,Normal,Starling Pokémon,40,55,30,30,30,60
397,Staravia,120,Normal,Starling Pokémon,55,75,50,40,40,80
398,Staraptor,45,Normal,Predator Pokémon,85,120,70,50,60,100
399,Bidoof,255,Normal,Plump Mouse Pokémon,59,45,40,35,40,31
400,Bibarel,127,Normal,Beaver Pokémon,79,85,60,55,60,71
401,Kricketot,255,Normal,Cricket Pokémon,37,25,41,25,41,25
402,Kricketune,45,Normal,Cricket Pokémon,77,85,51,55,51,65
403,Shinx,235,Normal,Flash Pokémon,45,65,34,40,34,45
404,Luxio,120,Normal,Spark Pokémon,60,85,49,60,49,60
405,Luxray,45,Normal,Gleam Eyes Pokémon,80,120,79,95,79,70
406,Budew,255,Normal,Bud Pokémon,40,30,35,50,70,55
407,Roserade,75,Normal,Bouquet Pokémon,60,70,65,125,105,90
408,Cranidos,45,Normal,Head Butt Pokémon,67,125,40,30,30,58
409,Rampardos,45,Normal,Head Butt Pokémon,97,165,60,65,50,58
410,Shieldon,45,Normal,Shield Pokémon,30,42,118,42,88,30
411,Bastiodon,45,Normal,Shield Pokémon,60,52,168,47,138,30
412,Burmy,120,Normal,Bagworm Pokémon,40,29,45,29,45,36
413,Wormadam Plant Cloak,45,Normal,Bagworm Pokémon,60,59,85,79,105,36
413,Wormadam Sandy Cloak,45,Normal,Bagworm Pokémon,60,79,105,59,85,36
413,Wormadam Trash Cloak,45,Normal,Bagworm Pokémon,60,69,95,69,95,36
414,Mothim,45,Normal,Moth Pokémon,70,94,50,94,50,66
415,Combee,120,Normal,Tiny Bee Pokémon,30,30,42,30,42,70
416,Vespiquen,45,Normal,Beehive Pokémon,70,80,102,80,102,40
417,Pachirisu,200,Normal,EleSquirrel Pokémon,60,45,70,45,90,95
418,Buizel,190,Normal,Sea Weasel Pokémon,55,65,35,60,30,85
419,Floatzel,75,Normal,Sea Weasel Pokémon,85,105,55,85,50,115
420,Cherubi,190,Normal,Cherry Pokémon,45,35,45,62,53,35
421,Cherrim,75,Normal,Blossom Pokémon,70,60,70,87,78,85
422,Shellos,190,Normal,Sea Slug Pokémon,76,48,48,57,62,34
423,Gastrodon,75,Normal,Sea Slug Pokémon,111,83,68,92,82,39
424,Ambipom,45,Normal,Long Tail Pokémon,75,100,66,60,66,115
425,Drifloon,125,Normal,Balloon Pokémon,90,50,34,60,44,70
426,Drifblim,60,Normal,Blimp Pokémon,150,80,44,90,54,80
427,Buneary,190,Normal,Rabbit Pokémon,55,66,44,44,56,85
428,Lopunny,60,Normal,Rabbit Pokémon,65,76,84,54,96,105
428,Mega Lopunny,60,Normal,Rabbit Pokémon,65,136,94,54,96,135
429,Mismagius,45,Normal,Magical Pokémon,60,60,60,105,105,105
430,Honchkrow,30,Normal,Big Boss Pokémon,100,125,52,105,52,71
431,Glameow,190,Normal,Catty Pokémon,49,55,42,42,37,85
432,Purugly,75,Normal,Tiger Cat Pokémon,71,82,64,64,59,112
433,Chingling,120,Normal,Bell Pokémon,45,30,50,65,50,45
434,Stunky,225,Normal,Skunk Pokémon,63,63,47,41,41,74
435,Skuntank,60,Normal,Skunk Pokémon,103,93,67,71,61,84
436,Bronzor,255,Normal,Bronze Pokémon,57,24,86,24,86,23
437,Bronzong,90,Normal,Bronze Bell Pokémon,67,89,116,79,116,33
438,Bonsly,255,Normal,Bonsai Pokémon,50,80,95,10,45,10
439,Mime Jr.,145,Normal,Mime Pokémon,20,25,45,70,90,60
440,Happiny,130,Normal,Playhouse Pokémon,100,5,5,15,65,30
441,Chatot,30,Normal,Music Note Pokémon,76,65,45,92,42,91
442,Spiritomb,100,Normal,Forbidden Pokémon,50,92,108,92,108,35
443,Gible,45,Normal,Land Shark Pokémon,58,70,45,40,45,42
444,Gabite,45,Normal,Cave Pokémon,68,90,65,50,55,82
445,Garchomp,45,Normal,Mach Pokémon,108,130,95,80,85,102
445,Mega Garchomp,45,Normal,Mach Pokémon,108,170,115,120,95,92
446,Munchlax,50,Normal,Big Eater Pokémon,135,85,40,40,85,5
447,Riolu,75,Normal,Emanation Pokémon,40,70,40,35,40,60
448,Lucario,45,Normal,Aura Pokémon,70,110,70,115,70,90
448,Mega Lucario,45,Normal,Aura Pokémon,70,145,88,140,70,112
449,Hippopotas,140,Normal,Hippo Pokémon,68,72,78,38,42,32
450,Hippowdon,60,Normal,Heavyweight Pokémon,108,112,118,68,72,47
451,Skorupi,120,Normal,Scorpion Pokémon,40,50,90,30,55,65
452,Drapion,45,Normal,Ogre Scorp Pokémon,70,90,110,60,75,95
453,Croagunk,140,Normal,Toxic Mouth Pokémon,48,61,40,61,40,50
454,Toxicroak,75,Normal,Toxic Mouth Pokémon,83,106,65,86,65,85
455,Carnivine,200,Normal,Bug Catcher Pokémon,74,100,72,90,72,46
456,Finneon,190,Normal,Wing Fish Pokémon,49,49,56,49,61,66
457,Lumineon,75,Normal,Neon Pokémon,69,69,76,69,86,91
458,Mantyke,25,Normal,Kite Pokémon,45,20,50,60,120,50
459,Snover,120,Normal,Frost Tree Pokémon,60,62,50,62,60,40
460,Abomasnow,60,Normal,Frost Tree Pokémon,90,92,75,92,85,60
460,Mega Abomasnow,60,Normal,Frost Tree Pokémon,90,132,105,132,105,30
461,Weavile,45,Normal,Sharp Claw Pokémon,70,120,65,45,85,125
462,Magnezone,30,Normal,Magnet Area Pokémon,70,70,115,130,90,60
463,Lickilicky,30,Normal,Licking Pokémon,110,85,95,80,95,50
464,Rhyperior,30,Normal,Drill Pokémon,115,140,130,55,55,40
465,Tangrowth,30,Normal,Vine Pokémon,100,100,125,110,50,50
466,Electivire,30,Normal,Thunderbolt Pokémon,75,123,67,95,85,95
467,Magmortar,30,Normal,Blast Pokémon,75,95,67,125,95,83
468,Togekiss,30,Normal,Jubilee Pokémon,85,50,95,120,115,80
469,Yanmega,30,Normal,Ogre Darner Pokémon,86,76,86,116,56,95
470,Leafeon,45,Normal,Verdant Pokémon,65,110,130,60,65,95
471,Glaceon,45,Normal,Fresh Snow Pokémon,65,60,110,130,95,65
472,Gliscor,30,Normal,Fang Scorp Pokémon,75,95,125,45,75,95
473,Mamoswine,50,Normal,Twin Tusk Pokémon,110,130,80,70,60,80
474,Porygon-Z,30,Normal,Virtual Pokémon,85,80,70,135,75,90
475,Gallade,45,Normal,Blade Pokémon,68,125,65,65,115,80
475,Mega Gallade,45,Normal,Blade Pokémon,68,165,95,65,115,110
476,Probopass,60,Normal,Compass Pokémon,60,55,145,75,150,40
477,Dusknoir,45,Normal,Gripper Pokémon,45,100,135,65,135,45
478,Froslass,75,Normal,Snow Land Pokémon,70,80,70,80,70,110
479,Rotom,45,Normal,Plasma Pokémon,50,50,77,95,77,91
479,Heat Rotom,45,Normal,Plasma Pokémon,50,65,107,105,107,86
479,Wash Rotom,45,Normal,Plasma Pokémon,50,65,107,105,107,86
479,Frost Rotom,45,Normal,Plasma Pokémon,50,65,107,105,107,86
479,Fan Rotom,45,Normal,Plasma Pokémon,50,65,107,105,107,86
479,Mow Rotom,45,Normal,Plasma Pokémon,50,65,107,105,107,86
480,Uxie,3,Sub Legendary,Knowledge Pokémon,75,75,130,75,130,95
481,Mesprit,3,Sub Legendary,Emotion Pokémon,80,105,105,105,105,80
482,Azelf,3,Sub Legendary,Willpower Pokémon,75,125,70,125,70,115
483,Dialga,3,Legendary,Temporal Pokémon,100,120,120,150,100,90
484,Palkia,3,Legendary,Spatial Pokémon,90,120,100,150,120,100
485,Heatran,3,Sub Legendary,Lava Dome Pokémon,91,90,106,130,106,77
486,Regigigas,3,Sub Legendary,Colossal Pokémon,110,160,110,80,110,100
487,Giratina Altered Forme,3,Legendary,Renegade Pokémon,150,100,120,100,120,90
487,Giratina Origin Forme,3,Legendary,Renegade Pokémon,150,120,100,120,100,90
488,Cresselia,3,Sub Legendary,Lunar Pokémon,120,70,120,75,130,85
489,Phione,30,Mythical,Sea Drifter Pokémon,80,80,80,80,80,80
490,Manaphy,3,Mythical,Seafaring Pokémon,100,100,100,100,100,100
491,Darkrai,3,Mythical,Pitch-Black Pokémon,70,90,90,135,90,125
492,Shaymin Land Forme,45,Mythical,Gratitude Pokémon,100,100,100,100,100,100
492,Shaymin Sky Forme,45,Mythical,Gratitude Pokémon,100,103,75,120,75,127
493,Arceus,3,Mythical,Alpha Pokémon,120,120,120,120,120,120
494,Victini,3,Mythical,Victory Pokémon,100,100,100,100,100,100
495,Snivy,45,Normal,Grass Snake Pokémon,45,45,55,45,55,63
496,Servine,45,Normal,Grass Snake Pokémon,60,60,75,60,75,83
497,Serperior,45,Normal,Regal Pokémon,75,75,95,75,95,113
498,Tepig,45,Normal,Fire Pig Pokémon,65,63,45,45,45,45
499,Pignite,45,Normal,Fire Pig Pokémon,90,93,55,70,55,55
500,Emboar,45,Normal,Mega Fire Pig Pokémon,110,123,65,100,65,65
501,Oshawott,45,Normal,Sea Otter Pokémon,55,55,45,63,45,45
502,Dewott,45,Normal,Discipline Pokémon,75,75,60,83,60,60
503,Samurott,45,Normal,Formidable Pokémon,95,100,85,108,70,70
504,Patrat,255,Normal,Scout Pokémon,45,55,39,35,39,42
505,Watchog,255,Normal,Lookout Pokémon,60,85,69,60,69,77
506,Lillipup,255,Normal,Puppy Pokémon,45,60,45,25,45,55
507,Herdier,120,Normal,Loyal Dog Pokémon,65,80,65,35,65,60
508,Stoutland,45,Normal,Big-Hearted Pokémon,85,110,90,45,90,80
509,Purrloin,255,Normal,Devious Pokémon,41,50,37,50,37,66
510,Liepard,90,Normal,Cruel Pokémon,64,88,50,88,50,106
511,Pansage,190,Normal,Grass Monkey Pokémon,50,53,48,53,48,64
512,Simisage,75,Normal,Thorn Monkey Pokémon,75,98,63,98,63,101
513,Pansear,190,Normal,High Temp Pokémon,50,53,48,53,48,64
514,Simisear,75,Normal,Ember Pokémon,75,98,63,98,63,101
515,Panpour,190,Normal,Spray Pokémon,50,53,48,53,48,64
516,Simipour,75,Normal,Geyser Pokémon,75,98,63,98,63,101
517,Munna,190,Normal,Dream Eater Pokémon,76,25,45,67,55,24
518,Musharna,75,Normal,Drowsing Pokémon,116,55,85,107,95,29
519,Pidove,255,Normal,Tiny Pigeon Pokémon,50,55,50,36,30,43
520,Tranquill,120,Normal,Wild Pigeon Pokémon,62,77,62,50,42,65
521,Unfezant,45,Normal,Proud Pokémon,80,115,80,65,55,93
522,Blitzle,190,Normal,Electrified Pokémon,45,60,32,50,32,76
523,Zebstrika,75,Normal,Thunderbolt Pokémon,75,100,63,80,63,116
524,Roggenrola,255,Normal,Mantle Pokémon,55,75,85,25,25,15
525,Boldore,120,Normal,Ore Pokémon,70,105,105,50,40,20
526,Gigalith,45,Normal,Compressed Pokémon,85,135,130,60,80,25
527,Woobat,190,Normal,Bat Pokémon,65,45,43,55,43,72
528,Swoobat,45,Normal,Courting Pokémon,67,57,55,77,55,114
529,Drilbur,120,Normal,Mole Pokémon,60,85,40,30,45,68
530,Excadrill,60,Normal,Subterrene Pokémon,110,135,60,50,65,88
531,Audino,255,Normal,Hearing Pokémon,103,60,86,60,86,50
531,Mega Audino,255,Normal,Hearing Pokémon,103,60,126,80,126,50
532,Timburr,180,Normal,Muscular Pokémon,75,80,55,25,35,35
533,Gurdurr,90,Normal,Muscular Pokémon,85,105,85,40,50,40
534,Conkeldurr,45,Normal,Muscular Pokémon,105,140,95,55,65,45
535,Tympole,255,Normal,Tadpole Pokémon,50,50,40,50,40,64
536,Palpitoad,120,Normal,Vibration Pokémon,75,65,55,65,55,69
537,Seismitoad,45,Normal,Vibration Pokémon,105,95,75,85,75,74
538,Throh,45,Normal,Judo Pokémon,120,100,85,30,85,45
539,Sawk,45,Normal,Karate Pokémon,75,125,75,30,75,85
540,Sewaddle,255,Normal,Sewing Pokémon,45,53,70,40,60,42
541,Swadloon,120,Normal,Leaf-Wrapped Pokémon,55,63,90,50,80,42
542,Leavanny,45,Normal,Nurturing Pokémon,75,103,80,70,80,92
543,Venipede,255,Normal,Centipede Pokémon,30,45,59,30,39,57
544,Whirlipede,120,Normal,Curlipede Pokémon,40,55,99,40,79,47
545,Scolipede,45,Normal,Megapede Pokémon,60,100,89,55,69,112
546,Cottonee,190,Normal,Cotton Puff Pokémon,40,27,60,37,50,66
547,Whimsicott,75,Normal,Windveiled Pokémon,60,67,85,77,75,116
548,Petilil,190,Normal,Bulb Pokémon,45,35,50,70,50,30
549,Lilligant,75,Normal,Flowering Pokémon,70,60,75,110,75,90
550,Basculin Red-Striped Form,25,Normal,Hostile Pokémon,70,92,65,80,55,98
550,Basculin Blue-Striped Form,25,Normal,Hostile Pokémon,70,92,65,80,55,98
551,Sandile,180,Normal,Desert Croc Pokémon,50,72,35,35,35,65
552,Krokorok,90,Normal,Desert Croc Pokémon,60,82,45,45,45,74
553,Krookodile,45,Normal,Intimidation Pokémon,95,117,80,65,70,92
554,Darumaka,120.0,Normal,Zen Charm Pokémon,70,90,45,15,45,50
554,Galarian Darumaka,,Normal,Zen Charm Pokémon,70,90,45,15,45,50
555,Darmanitan Standard Mode,60.0,Normal,Blazing Pokémon,105,140,55,30,55,95
555,Darmanitan Zen Mode,60.0,Normal,Blazing Pokémon,105,30,105,140,105,55
555,Darmanitan Galarian Standard Mode,,Normal,Zen Charm Pokémon,105,140,55,30,55,95
555,Darmanitan Galarian Zen Mode,,Normal,Zen Charm Pokémon,105,160,55,30,55,135
556,Maractus,255,Normal,Cactus Pokémon,75,86,67,106,67,60
557,Dwebble,190,Normal,Rock Inn Pokémon,50,65,85,35,35,55
558,Crustle,75,Normal,Stone Home Pokémon,70,105,125,65,75,45
559,Scraggy,180,Normal,Shedding Pokémon,50,75,70,35,70,48
560,Scrafty,90,Normal,Hoodlum Pokémon,65,90,115,45,115,58
561,Sigilyph,45,Normal,Avianoid Pokémon,72,58,80,103,80,97
562,Yamask,190.0,Normal,Spirit Pokémon,38,30,85,55,65,30
562,Galarian Yamask,,Normal,Spirit Pokémon,38,55,85,30,65,30
563,Cofagrigus,90,Normal,Coffin Pokémon,58,50,145,95,105,30
564,Tirtouga,45,Normal,Prototurtle Pokémon,54,78,103,53,45,22
565,Carracosta,45,Normal,Prototurtle Pokémon,74,108,133,83,65,32
566,Archen,45,Normal,First Bird Pokémon,55,112,45,74,45,70
567,Archeops,45,Normal,First Bird Pokémon,75,140,65,112,65,110
568,Trubbish,190,Normal,Trash Bag Pokémon,50,50,62,40,62,65
569,Garbodor,60,Normal,Trash Heap Pokémon,80,95,82,60,82,75
570,Zorua,75,Normal,Tricky Fox Pokémon,40,65,40,80,40,65
571,Zoroark,45,Normal,Illusion Fox Pokémon,60,105,60,120,60,105
572,Minccino,255,Normal,Chinchilla Pokémon,55,50,40,40,40,75
573,Cinccino,60,Normal,Scarf Pokémon,75,95,60,65,60,115
574,Gothita,200,Normal,Fixation Pokémon,45,30,50,55,65,45
575,Gothorita,100,Normal,Manipulate Pokémon,60,45,70,75,85,55
576,Gothitelle,50,Normal,Astral Body Pokémon,70,55,95,95,110,65
577,Solosis,200,Normal,Cell Pokémon,45,30,40,105,50,20
578,Duosion,100,Normal,Mitosis Pokémon,65,40,50,125,60,30
579,Reuniclus,50,Normal,Multiplying Pokémon,110,65,75,125,85,30
580,Ducklett,190,Normal,Water Bird Pokémon,62,44,50,44,50,55
581,Swanna,45,Normal,White Bird Pokémon,75,87,63,87,63,98
582,Vanillite,255,Normal,Fresh Snow Pokémon,36,50,50,65,60,44
583,Vanillish,120,Normal,Icy Snow Pokémon,51,65,65,80,75,59
584,Vanilluxe,45,Normal,Snowstorm Pokémon,71,95,85,110,95,79
585,Deerling,190,Normal,Season Pokémon,60,60,50,40,50,75
586,Sawsbuck,75,Normal,Season Pokémon,80,100,70,60,70,95
587,Emolga,200,Normal,Sky Squirrel Pokémon,55,75,60,75,60,103
588,Karrablast,200,Normal,Clamping Pokémon,50,75,45,40,45,60
589,Escavalier,75,Normal,Cavalry Pokémon,70,135,105,60,105,20
590,Foongus,190,Normal,Mushroom Pokémon,69,55,45,55,55,15
591,Amoonguss,75,Normal,Mushroom Pokémon,114,85,70,85,80,30
592,Frillish,190,Normal,Floating Pokémon,55,40,50,65,85,40
593,Jellicent,60,Normal,Floating Pokémon,100,60,70,85,105,60
594,Alomomola,75,Normal,Caring Pokémon,165,75,80,40,45,65
595,Joltik,190,Normal,Attaching Pokémon,50,47,50,57,50,65
596,Galvantula,75,Normal,EleSpider Pokémon,70,77,60,97,60,108
597,Ferroseed,255,Normal,Thorn Seed Pokémon,44,50,91,24,86,10
598,Ferrothorn,90,Normal,Thorn Pod Pokémon,74,94,131,54,116,20
599,Klink,130,Normal,Gear Pokémon,40,55,70,45,60,30
600,Klang,60,Normal,Gear Pokémon,60,80,95,70,85,50
601,Klinklang,30,Normal,Gear Pokémon,60,100,115,70,85,90
602,Tynamo,190,Normal,EleFish Pokémon,35,55,40,45,40,60
603,Eelektrik,60,Normal,EleFish Pokémon,65,85,70,75,70,40
604,Eelektross,30,Normal,EleFish Pokémon,85,115,80,105,80,50
605,Elgyem,255,Normal,Cerebral Pokémon,55,55,55,85,55,30
606,Beheeyem,90,Normal,Cerebral Pokémon,75,75,75,125,95,40
607,Litwick,190,Normal,Candle Pokémon,50,30,55,65,55,20
608,Lampent,90,Normal,Lamp Pokémon,60,40,60,95,60,55
609,Chandelure,45,Normal,Luring Pokémon,60,55,90,145,90,80
610,Axew,75,Normal,Tusk Pokémon,46,87,60,30,40,57
611,Fraxure,60,Normal,Axe Jaw Pokémon,66,117,70,40,50,67
612,Haxorus,45,Normal,Axe Jaw Pokémon,76,147,90,60,70,97
613,Cubchoo,120,Normal,Chill Pokémon,55,70,40,60,40,40
614,Beartic,60,Normal,Freezing Pokémon,95,130,80,70,80,50
615,Cryogonal,25,Normal,Crystallizing Pokémon,80,50,50,95,135,105
616,Shelmet,200,Normal,Snail Pokémon,50,40,85,40,65,25
617,Accelgor,75,Normal,Shell Out Pokémon,80,70,40,100,60,145
618,Stunfisk,75.0,Normal,Trap Pokémon,109,66,84,81,99,32
618,Galarian Stunfisk,,Normal,Trap Pokémon,109,81,99,66,84,32
619,Mienfoo,180,Normal,Martial Arts Pokémon,45,85,50,55,50,65
620,Mienshao,45,Normal,Martial Arts Pokémon,65,125,60,95,60,105
621,Druddigon,45,Normal,Cave Pokémon,77,120,90,60,90,48
622,Golett,190,Normal,Automaton Pokémon,59,74,50,35,50,35
623,Golurk,90,Normal,Automaton Pokémon,89,124,80,55,80,55
624,Pawniard,120,Normal,Sharp Blade Pokémon,45,85,70,40,40,60
625,Bisharp,45,Normal,Sword Blade Pokémon,65,125,100,60,70,70
626,Bouffalant,45,Normal,Bash Buffalo Pokémon,95,110,95,40,95,55
627,Rufflet,190,Normal,Eaglet Pokémon,70,83,50,37,50,60
628,Braviary,60,Normal,Valiant Pokémon,100,123,75,57,75,80
629,Vullaby,190,Normal,Diapered Pokémon,70,55,75,45,65,60
630,Mandibuzz,60,Normal,Bone Vulture Pokémon,110,65,105,55,95,80
631,Heatmor,90,Normal,Anteater Pokémon,85,97,66,105,66,65
632,Durant,90,Normal,Iron Ant Pokémon,58,109,112,48,48,109
633,Deino,45,Normal,Irate Pokémon,52,65,50,45,50,38
634,Zweilous,45,Normal,Hostile Pokémon,72,85,70,65,70,58
635,Hydreigon,45,Normal,Brutal Pokémon,92,105,90,125,90,98
636,Larvesta,45,Normal,Torch Pokémon,55,85,55,50,55,60
637,Volcarona,15,Normal,Sun Pokémon,85,60,65,135,105,100
638,Cobalion,3,Sub Legendary,Iron Will Pokémon,91,90,129,90,72,108
639,Terrakion,3,Sub Legendary,Cavern Pokémon,91,129,90,72,90,108
640,Virizion,3,Sub Legendary,Grassland Pokémon,91,90,72,90,129,108
641,Tornadus Incarnate Forme,3,Sub Legendary,Cyclone Pokémon,79,115,70,125,80,111
641,Tornadus Therian Forme,3,Sub Legendary,Cyclone Pokémon,79,100,80,110,90,121
642,Thundurus Incarnate Forme,3,Sub Legendary,Bolt Strike Pokémon,79,115,70,125,80,111
642,Thundurus Therian Forme,3,Sub Legendary,Bolt Strike Pokémon,79,105,70,145,80,101
643,Reshiram,3,Legendary,Vast White Pokémon,100,120,100,150,120,90
644,Zekrom,3,Legendary,Deep Black Pokémon,100,150,120,120,100,90
645,Landorus Incarnate Forme,3,Sub Legendary,Abundance Pokémon,89,125,90,115,80,101
645,Landorus Therian Forme,3,Sub Legendary,Abundance Pokémon,89,145,90,105,80,91
646,Kyurem,3,Legendary,Boundary Pokémon,125,130,90,130,90,95
